id,R,F,M,r_grade,f_grade,m_grade
13286210@n,78,1,48800.0,3,1,1
132899084@n,145,1,40000.0,2,1,1
133052998@n,37,3,214456.0,4,3,3
133157991@n,21,1,20100.0,4,1,1
133161880@n,218,1,43600.0,1,1,1
13316800@n,115,1,37900.0,2,1,1
13322127@n,83,1,41900.0,3,1,1
133254257@n,50,1,40900.0,3,1,1
133398180@n,112,1,24100.0,2,1,1
13352903@n,91,2,202400.0,3,2,3
133542523@n,107,1,24000.0,2,1,1
133558420@n,146,1,16900.0,2,1,1
13357861@n,208,1,35000.0,1,1,1
13373323@n,208,1,114000.0,1,1,3
13373748@n,73,1,110065.0,3,1,3
13396262@n,102,1,47800.0,2,1,1
133993247@n,96,1,37900.0,3,1,1
134006420@n,70,1,112500.0,3,1,3
134064946@n,97,2,26300.0,3,2,1
134272839@n,16,1,33900.0,4,1,1
13428427@n,26,2,32800.0,4,2,1
134485321@n,71,1,36400.0,3,1,1
13471831@n,103,1,40793.0,2,1,1
134843809@n,186,1,40900.0,1,1,1
134885197@n,86,1,94000.0,3,1,2
134917272@n,63,1,32400.0,3,1,1
134954383@n,47,3,103400.0,3,3,3
135059895@n,108,1,23600.0,2,1,1
135067811@n,176,1,50700.0,1,1,1
135121187@n,35,1,34400.0,4,1,1
135204579@n,113,1,23000.0,2,1,1
135270031@n,176,1,64381.0,1,1,2
13528750@n,67,1,25300.0,3,1,1
13531558@n,67,1,23200.0,3,1,1
13532632@n,153,1,48800.0,2,1,1
135365436@n,135,1,31900.0,2,1,1
135459836@n,36,2,40700.0,4,2,1
135519178@n,140,2,76200.0,2,2,2
135557535@n,124,1,142908.0,2,1,3
13570528@n,12,1,12900.0,4,1,1
135842414@n,116,1,23000.0,2,1,1
13586854@n,161,2,52300.0,1,2,2
135878494@n,204,1,35000.0,1,1,1
135910701@n,119,1,107600.0,2,1,3
135995245@n,75,3,72000.0,3,3,2
13600101@n,77,1,31730.0,3,1,1
136161768@n,15,1,37900.0,4,1,1
13616852@n,69,1,110065.0,3,1,3
13620975@n,14,1,29900.0,4,1,1
13626843@n,182,1,41900.0,1,1,1
1362777641@g,215,1,35000.0,1,1,1
136289529@n,151,1,40900.0,2,1,1
1363376@n,120,1,11700.0,2,1,1
136464338@n,119,1,35900.0,2,1,1
136537678@n,162,1,15239.0,1,1,1
136555056@n,217,1,28800.0,1,1,1
13655928@n,155,1,50500.0,2,1,1
13660401@n,6,1,28000.0,4,1,1
136614726@n,57,2,125100.0,3,2,3
136669728@n,10,1,48800.0,4,1,1
13673706@n,170,1,14900.0,1,1,1
136752807@n,205,1,69400.0,1,1,2
13679574@n,66,2,100300.0,3,2,2
136855625@n,184,1,49598.0,1,1,1
13690766@n,145,1,40900.0,2,1,1
137020848@n,117,2,51636.0,2,2,1
137044510@n,203,1,40000.0,1,1,1
13713616@n,51,1,52700.0,3,1,2
13714366@n,68,1,27400.0,3,1,1
137201742@n,216,1,38800.0,1,1,1
137242694@n,206,1,69200.0,1,1,2
13727967@n,28,1,40691.0,4,1,1
137447813@n,80,2,73350.0,3,2,2
137483021@n,76,1,81300.0,3,1,2
137501497@n,184,1,38739.0,1,1,1
137530112@n,76,1,103300.0,3,1,3
137535711@n,163,1,40900.0,1,1,1
13755125@n,183,1,38900.0,1,1,1
13768736@n,183,1,40000.0,1,1,1
13783616@n,120,1,49800.0,2,1,1
1378459@n,50,1,32900.0,3,1,1
138056988@n,66,2,81100.0,3,2,2
13810166@n,74,1,15500.0,3,1,1
13810583@n,128,1,40900.0,2,1,1
138220053@n,120,1,40900.0,2,1,1
138279308@n,131,1,31900.0,2,1,1
13839364@n,62,1,31400.0,3,1,1
13861177@n,64,1,15500.0,3,1,1
138618657@n,114,1,11700.0,2,1,1
13869810@n,68,1,78720.0,3,1,2
13874854@n,24,3,46200.0,4,3,1
13876323@n,63,1,60200.0,3,1,2
13885892@n,95,1,154000.0,3,1,3
13891200@n,66,1,31400.0,3,1,1
138930672@n,89,1,47300.0,3,1,1
13893522@n,85,1,49800.0,3,1,1
13913115@n,141,1,38900.0,2,1,1
139205768@n,81,2,77100.0,3,2,2
139586836@n,99,1,41900.0,3,1,1
139607445@n,195,1,31500.0,1,1,1
13966661@n,141,1,49200.0,2,1,1
139748004@n,84,1,40739.0,3,1,1
13989042@n,23,1,22100.0,4,1,1
14004440@n,62,1,15500.0,3,1,1
140063023@n,145,1,87700.0,2,1,2
14007379@n,65,1,31400.0,3,1,1
14012091@n,85,1,61800.0,3,1,2
14028895@n,73,1,32400.0,3,1,1
140291774@n,53,1,51800.0,3,1,1
14029488@n,126,2,73679.0,2,2,2
14043204@n,86,1,15900.0,3,1,1
140669775@n,82,1,48800.0,3,1,1
141142334@n,99,1,13900.0,3,1,1
14120302@n,28,2,80700.0,4,2,2
141286148@n,202,1,44900.0,1,1,1
14133803@n,217,1,36000.0,1,1,1
14145095@n,14,2,84800.0,4,2,2
141813693@n,106,1,9900.0,2,1,1
14184462@n,62,1,82800.0,3,1,2
141846985@n,69,1,33400.0,3,1,1
14202970@n,76,1,24300.0,3,1,1
14203766@n,99,1,40900.0,3,1,1
14210535@n,127,1,31900.0,2,1,1
14216917@n,73,1,32400.0,3,1,1
14224312@n,35,1,38900.0,4,1,1
14230756@n,140,1,76800.0,2,1,2
142378436@n,93,2,54800.0,3,2,2
14256448@n,123,1,16900.0,2,1,1
14266497@n,99,1,56200.0,3,1,2
142815117@n,140,1,81000.0,2,1,2
14289529@n,108,1,37900.0,2,1,1
143060960@n,36,1,37900.0,4,1,1
14314968@n,29,1,34800.0,4,1,1
14329121@n,165,1,40000.0,1,1,1
143398110@n,201,1,31400.0,1,1,1
14364942@n,11,1,28800.0,4,1,1
14388720@n,163,1,49700.0,1,1,1
14415497@n,25,1,34900.0,4,1,1
14422978@n,108,1,12700.0,2,1,1
144367694@n,201,1,14500.0,1,1,1
14456481@n,89,2,68668.0,3,2,2
14476044@n,111,1,36000.0,2,1,1
144963138@n,71,1,32400.0,3,1,1
1449739@n,144,1,70800.0,2,1,2
14498744@n,41,2,101770.0,4,2,2
145139852@n,66,1,31400.0,3,1,1
14522298@n,113,1,37000.0,2,1,1
14525893@n,132,1,42300.0,2,1,1
14530654@n,169,1,39000.0,1,1,1
14558905@n,65,1,28800.0,3,1,1
145597389@n,121,1,38800.0,2,1,1
14583248@n,72,1,30900.0,3,1,1
14587688@n,72,1,27644.0,3,1,1
145936328@n,161,1,26800.0,1,1,1
1459555@n,204,1,34200.0,1,1,1
14602101@n,62,1,35400.0,3,1,1
14611723@n,163,1,40900.0,1,1,1
146184423@n,176,1,14900.0,1,1,1
14621403@n,177,1,15900.0,1,1,1
14630275@n,176,1,16900.0,1,1,1
146334870@n,203,1,40000.0,1,1,1
14640499@n,176,1,38900.0,1,1,1
14640657@n,122,1,40900.0,2,1,1
14663324@n,171,1,13900.0,1,1,1
146696075@n,52,1,39900.0,3,1,1
14677980@n,208,1,35000.0,1,1,1
147092606@n,208,1,34200.0,1,1,1
14717714@n,77,1,31300.0,3,1,1
147273607@n,80,1,39000.0,3,1,1
147333182@n,36,1,37780.0,4,1,1
1473610259@g,87,1,40900.0,3,1,1
147401943@n,163,1,36900.0,1,1,1
14751774@n,71,2,46300.0,3,2,1
147734476@n,165,1,40900.0,1,1,1
14777623@n,119,1,23000.0,2,1,1
1478289887@g,12,2,43800.0,4,2,1
14802408@n,217,1,16100.0,1,1,1
148130695@n,34,1,77700.0,4,1,2
148167387@n,64,1,14500.0,3,1,1
